1000 1 200
12.5 128.125 6.25 3.125
187.5 87.5 3.125 6.25
37.5 140.625 6.25 3.125
112.5 118.75 6.25 3.125
75 6.25 6.25 3.125
43.75 43.75 6.25 6.25
12.5 131.25 6.25 6.25
6.25 81.25 6.25 3.125
0 25 6.25 3.125
190.625 87.5 3.125 6.25
93.75 175 6.25 6.25
87.5 190.625 6.25 3.125
118.75 46.875 6.25 3.125
68.75 175 6.25 3.125
25 15.625 6.25 3.125
68.75 62.5 3.125 6.25
137.5 134.375 6.25 3.125
12.5 53.125 6.25 3.125
137.5 159.375 6.25 3.125
0 178.125 6.25 3.125
87.5 175 6.25 6.25
6.25 75 6.25 3.125
37.5 134.375 6.25 3.125
162.5 12.5 3.125 6.25
12.5 31.25 6.25 3.125
18.75 62.5 6.25 6.25
12.5 25 6.25 3.125
12.5 112.5 6.25 3.125
18.75 87.5 6.25 6.25
81.25 165.625 6.25 3.125
37.5 121.875 6.25 3.125
109.375 31.25 3.125 6.25
112.5 171.875 6.25 3.125
125 165.625 6.25 3.125
81.25 156.25 6.25 3.125
137.5 121.875 6.25 3.125
31.25 175 6.25 3.125
12.5 93.75 6.25 3.125
81.25 62.5 3.125 6.25
181.25 193.75 6.25 3.125
184.375 12.5 3.125 6.25
37.5 184.375 6.25 3.125
18.75 43.75 3.125 6.25
100 121.875 6.25 3.125
50 62.5 3.125 6.25
18.75 131.25 6.25 6.25
81.25 187.5 6.25 3.125
56.25 3.125 6.25 3.125
175 131.25 3.125 6.25
31.25 25 6.25 6.25
118.75 171.875 6.25 3.125
18.75 84.375 6.25 3.125
68.75 109.375 6.25 3.125
184.375 68.75 3.125 6.25
143.75 193.75 6.25 3.125
193.75 121.875 6.25 3.125
156.25 187.5 6.25 3.125
59.375 93.75 3.125 6.25
71.875 68.75 3.125 6.25
6.25 84.375 6.25 3.125
175 68.75 3.125 6.25
93.75 159.375 6.25 3.125
31.25 18.75 6.25 3.125
0 109.375 6.25 3.125
156.25 150 6.25 3.125
18.75 128.125 6.25 3.125
181.25 150 6.25 3.125
184.375 131.25 3.125 6.25
31.25 178.125 6.25 3.125
37.5 43.75 3.125 6.25
93.75 190.625 6.25 3.125
118.75 187.5 6.25 3.125
175 93.75 3.125 6.25
131.25 112.5 6.25 3.125
18.75 112.5 6.25 3.125
18.75 25 6.25 3.125
168.75 18.75 3.125 6.25
181.25 68.75 3.125 6.25
43.75 121.875 6.25 3.125
178.125 62.5 3.125 6.25
40.625 43.75 3.125 6.25
0 75 6.25 3.125
178.125 31.25 3.125 6.25
75 153.125 6.25 3.125
118.75 43.75 6.25 3.125
50 3.125 6.25 3.125
137.5 175 6.25 6.25
87.5 193.75 6.25 3.125
62.5 190.625 6.25 3.125
75 87.5 6.25 6.25
53.125 68.75 3.125 6.25
162.5 190.625 6.25 3.125
178.125 25 3.125 6.25
46.875 87.5 3.125 6.25
62.5 156.25 6.25 6.25
150 118.75 6.25 3.125
87.5 156.25 6.25 3.125
165.625 12.5 3.125 6.25
131.25 162.5 6.25 3.125
87.5 9.375 6.25 3.125
125 109.375 6.25 3.125
68.75 190.625 6.25 3.125
112.5 40.625 6.25 3.125
50 115.625 6.25 3.125
12.5 125 6.25 3.125
193.75 112.5 6.25 3.125
125 168.75 6.25 3.125
175 62.5 3.125 6.25
18.75 96.875 6.25 3.125
53.125 62.5 3.125 6.25
12.5 96.875 6.25 3.125
12.5 56.25 6.25 3.125
187.5 93.75 3.125 6.25
25 193.75 6.25 3.125
71.875 62.5 3.125 6.25
112.5 46.875 6.25 3.125
0 106.25 6.25 3.125
193.75 190.625 6.25 3.125
21.875 168.75 3.125 6.25
